x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
1.780401,-3.476877,0.1732,2.4662,-0.021248,0.509251,2.9461
2.030125,-3.466337,0.1602,2.4608,0.083735,0.332968,2.9459
2.278114,-3.435103,0.2009,2.4940,0.163277,0.305001,2.5843
2.522490,-3.385223,0.2049,2.4706,0.372845,1.281192,2.1641
2.736292,-3.255891,0.2289,2.4442,0.620777,0.617285,2.5850
2.927834,-3.095368,0.2810,2.4124,0.745859,0.387559,2.9464
3.103000,-2.917094,0.2937,2.3030,0.827413,0.266075,3.2682
3.265953,-2.727573,0.2864,2.1309,0.880492,0.158961,3.5610
3.421254,-2.531727,0.3300,1.9659,0.909482,0.073063,3.8315
3.572954,-2.333078,0.4152,1.8003,0.912732,-0.047048,4.0841
3.726980,-2.136226,0.5552,1.6602,0.904048,-0.022440,4.3219
3.882107,-1.940241,0.7039,1.5102,0.904188,0.023558,4.5474
4.036078,-1.743345,0.8575,1.3583,0.909251,0.016955,4.7622
4.189213,-1.545799,0.9985,1.1967,0.912394,0.008192,4.9677
4.341943,-1.347940,1.1371,1.0431,0.917282,0.030924,5.1650
4.493139,-1.148907,1.2971,0.9262,0.925418,0.034181,5.3551
4.642629,-0.948589,1.4210,0.7907,0.929994,0.002431,5.5387
4.791997,-0.748181,1.5413,0.6698,0.922566,-0.061872,5.7163
4.944443,-0.550110,1.6453,0.5490,0.896632,-0.145689,5.8886
5.103996,-0.357720,1.7598,0.4556,0.859329,-0.152894,5.9605
5.270779,-0.171567,1.8654,0.3731,0.817872,-0.178956,5.7903
5.445717,0.006948,1.9696,0.3101,0.778855,-0.133363,5.9605
5.626504,0.179533,2.0688,0.2682,0.740673,-0.172262,5.9017
5.814552,0.344183,2.1807,0.2640,0.704099,-0.120486,5.6519
6.007468,0.503094,2.2606,0.2571,0.668097,-0.167691,5.4722
6.206863,0.653780,2.2923,0.2310,0.620335,-0.214704,5.2863
6.414046,0.793559,2.2886,0.1966,0.565817,-0.221837,5.2007
6.628647,0.921648,2.2930,0.1962,0.508956,-0.233485,5.0693
6.850360,1.037018,2.2714,0.1938,0.457977,-0.174701,5.2628
7.076904,1.142607,2.2419,0.2051,0.421151,-0.120069,5.4495
7.306517,1.241355,2.2312,0.2538,0.396065,-0.080696,5.6299
7.538073,1.335451,2.1886,0.2849,0.374680,-0.090439,5.8048
7.771697,1.424290,2.1621,0.3418,0.351505,-0.095019,5.9746
8.007365,1.507557,2.1164,0.3834,0.329798,-0.078696,6.0000
8.244626,1.586173,2.0675,0.4212,0.310554,-0.075301,6.0000
8.483325,1.660310,2.0441,0.4808,0.293353,-0.062339,6.0000
8.723152,1.730720,2.0205,0.5347,0.282199,-0.026914,6.0000
8.963447,1.799515,1.9803,0.5667,0.275705,-0.025054,6.0000
9.204169,1.866805,1.9192,0.5734,0.270455,-0.016955,6.0000
9.445173,1.933073,1.8835,0.6025,0.269332,0.007968,6.0000
9.686044,1.999821,1.8607,0.6436,0.276848,0.052178,6.0000
9.926023,2.069704,1.8369,0.6850,0.291736,0.066961,6.0000
10.164792,2.143591,1.7893,0.7060,0.314610,0.116092,6.0000
10.401324,2.224375,1.7471,0.7381,0.337409,0.066370,6.0000
10.636482,2.309071,1.7111,0.7848,0.355995,0.082366,6.0000
10.869838,2.398586,1.6479,0.8149,0.383928,0.141188,6.0000
11.099893,2.496277,1.6046,0.8797,0.417854,0.130355,6.0000
11.326646,2.601410,1.5277,0.9292,0.448322,0.113491,6.0000
11.550331,2.712932,1.4278,0.9788,0.473547,0.088392,6.0000
11.771489,2.829364,1.3505,1.0756,0.502072,0.139905,6.0000
11.988451,2.953458,1.2316,1.1555,0.530580,0.088253,6.0000
12.202623,3.082308,1.1239,1.2692,0.553705,0.096823,5.5735
12.413601,3.216293,1.0211,1.4056,0.587773,0.175877,4.5986
12.618482,3.359409,0.8920,1.5268,0.637420,0.221683,4.1021
12.815091,3.513612,0.7596,1.6460,0.708733,0.349878,3.8508
12.997457,3.684315,0.6397,1.7692,0.810602,0.467642,3.5819
13.158710,3.875005,0.5801,1.9305,0.934555,0.528092,3.3707
13.293601,4.085204,0.5015,2.0424,1.061672,0.493246,3.4877
13.401745,4.310387,0.4322,2.1306,1.178451,0.444663,3.6733
13.484300,4.546052,0.3459,2.1678,1.298076,0.516115,3.4096
13.535996,4.790390,0.2745,2.1869,1.423881,0.494959,3.4271
13.557266,5.039130,0.2286,2.2069,1.561919,0.615526,3.1221
13.540415,5.288100,0.1661,2.1936,1.727208,0.717899,2.8661
13.479896,5.529747,0.1560,2.2232,1.935068,0.964364,2.4943
13.364041,5.750675,0.1424,2.2479,2.139289,0.689010,2.8666
13.212126,5.948894,0.1371,2.2835,2.279181,0.437141,3.1961
13.039491,6.129501,0.1487,2.3393,2.374390,0.326719,3.4949
12.852721,6.295453,0.1614,2.3979,2.455559,0.323961,3.7700
12.653183,6.445768,0.1718,2.4510,2.537075,0.329380,4.0263
12.441897,6.579246,0.2153,2.5281,2.598628,0.163843,4.2674
12.225301,6.703980,0.2358,2.5658,2.626000,0.055256,4.4956
12.006999,6.825714,0.2885,2.6120,2.634217,0.010498,4.7127
11.788381,6.946872,0.3078,2.5940,2.641521,0.047947,4.9203
11.568324,7.065403,0.3230,2.5403,2.647240,-0.002186,5.1195
11.348334,7.184054,0.3098,2.4268,2.642389,-0.036629,5.3112
11.129438,7.304715,0.3201,2.3074,2.634620,-0.025535,5.4962
10.911317,7.426769,0.3420,2.1755,2.625828,-0.044820,5.6752
10.694579,7.551259,0.3992,2.0617,2.613149,-0.056632,5.8487
10.479624,7.678804,0.4702,1.9511,2.600612,-0.043690,6.0000
10.266076,7.808688,0.5580,1.8541,2.586805,-0.066799,6.0000
10.054729,7.942116,0.6385,1.7514,2.568129,-0.082652,6.0000
9.846180,8.079885,0.7133,1.6463,2.550772,-0.056244,6.0000
9.639587,8.220571,0.7858,1.5416,2.535519,-0.065817,4.7179
9.435352,8.364626,0.8616,1.4390,2.506299,-0.168127,4.1996
9.237409,8.517079,0.9445,1.3368,2.444327,-0.328576,3.9545
9.052699,8.685146,1.0230,1.2184,2.348546,-0.439872,3.6933
8.887463,8.872419,1.1103,1.0925,2.245040,-0.390724,3.9187
8.741152,9.074977,1.2250,0.9754,2.161347,-0.280539,3.5326
8.609429,9.287175,1.3424,0.8446,2.068918,-0.461666,3.2375
8.503052,9.512768,1.4551,0.6939,1.923895,-0.707029,2.9131
8.437670,9.753225,1.5762,0.5459,1.783357,-0.427925,2.9392
8.398321,9.998037,1.7334,0.4120,1.781144,0.414492,2.5798
8.334559,10.236168,1.9240,0.2750,1.631272,-1.281192,2.1641
8.369292,10.477450,2.1012,0.2050,1.270154,-1.281192,2.1641
8.478629,10.700851,2.3091,0.1884,1.045978,-0.560284,2.5832
8.618425,10.907748,2.5179,0.1941,0.911522,-0.524074,2.9446
8.783555,11.094333,2.7093,0.2088,0.779476,-0.537724,3.2655
8.972363,11.257518,2.8904,0.2441,0.663286,-0.396853,3.5581
9.176484,11.401360,3.0330,0.2743,0.578723,-0.281618,3.8286
9.390320,11.530588,3.1282,0.2946,0.525747,-0.142875,4.0813
9.608708,11.652145,3.1777,0.3099,0.496098,-0.094477,4.3193
9.829894,11.768506,3.2055,0.3465,0.464876,-0.155464,4.5449
10.055388,11.876171,3.1778,0.3739,0.422802,-0.181376,4.7597
10.285540,11.973518,3.0616,0.3592,0.375236,-0.199534,4.9653
10.520220,12.059268,2.8787,0.3213,0.324318,-0.208224,5.1626
10.759058,12.132709,2.6355,0.2637,0.272981,-0.202919,5.3527
11.001303,12.193957,2.3764,0.2275,0.223110,-0.196449,5.5265
11.246274,12.243253,2.1464,0.2535,0.174684,-0.191349,5.5997
11.493317,12.280789,1.9138,0.3043,0.129619,-0.169477,5.7754
11.741754,12.307839,1.7085,0.4032,0.092050,-0.131297,5.9460
11.990964,12.326727,1.5435,0.5543,0.060218,-0.123501,6.0000
12.240631,12.337916,1.3846,0.7108,0.030285,-0.116076,6.0000
12.490528,12.341861,1.2353,0.8645,0.005420,-0.082935,6.0000
12.740466,12.340625,1.0843,0.9932,-0.010195,-0.042027,6.0000
12.990384,12.336764,0.9526,1.1097,-0.017236,-0.014313,6.0000
13.240288,12.332009,0.8588,1.2269,-0.017706,0.010551,6.0000
13.490203,12.327914,0.7798,1.3199,-0.017756,-0.010947,6.0000
13.740105,12.323134,0.7171,1.3908,-0.016216,0.023273,6.0000
13.990024,12.319808,0.6680,1.4377,-0.006099,0.057679,6.0000
14.239968,12.320085,0.6408,1.4735,0.011243,0.081101,6.0000
14.489842,12.325427,0.6501,1.5177,0.037682,0.130511,6.0000
14.739384,12.338913,0.6477,1.5257,0.068013,0.112253,6.0000
14.988479,12.359394,0.6485,1.5156,0.099656,0.141049,6.0000
15.236652,12.388633,0.6750,1.5127,0.139168,0.175263,5.8510
15.483312,12.428706,0.7187,1.5112,0.182724,0.173475,5.8811
15.728003,12.479427,0.7429,1.4775,0.223672,0.154356,6.0000
15.970576,12.539549,0.7942,1.4613,0.261877,0.151505,6.0000
16.210691,12.608803,0.8376,1.4321,0.302564,0.174232,5.8683
16.447550,12.688435,0.8781,1.3996,0.345960,0.173211,5.4747
16.680754,12.778241,0.9190,1.3721,0.391901,0.194663,5.1779
16.909287,12.879261,0.9341,1.3281,0.445049,0.231003,4.9743
17.131595,12.993275,0.9571,1.3060,0.506710,0.263013,4.5931
17.345919,13.121612,0.9563,1.2791,0.575616,0.289200,4.3701
17.550411,13.265053,0.9635,1.2837,0.655433,0.350888,4.1352
17.741502,13.425742,0.9386,1.2845,0.748173,0.393199,3.9063
17.915954,13.604346,0.8870,1.2884,0.847114,0.401016,3.7631
18.071714,13.799452,0.8469,1.3321,0.958389,0.493268,3.4877
18.202293,14.011942,0.7941,1.3886,1.089545,0.561874,3.2678
18.302032,14.240504,0.7311,1.4544,1.236324,0.621074,3.1082
18.365468,14.481469,0.6635,1.5276,1.394279,0.652795,3.0317
18.389263,14.729536,0.5946,1.6024,1.555631,0.649304,3.0398
18.373001,14.978196,0.5261,1.6709,1.707438,0.574377,3.2320
18.321511,15.222281,0.4616,1.7259,1.843495,0.521317,3.3925
18.238910,15.457663,0.3946,1.7564,1.964809,0.453971,3.6355
18.130210,15.682413,0.3321,1.7658,2.059154,0.303538,3.9005
18.004726,15.898457,0.2739,1.7544,2.127464,0.244060,4.1488
17.866316,16.106463,0.2299,1.7359,2.182591,0.197475,4.3831
17.717792,16.307431,0.1825,1.6997,2.231230,0.192044,4.6055
17.559814,16.501033,0.1468,1.6688,2.282166,0.215868,4.8176
17.391644,16.685831,0.1241,1.6524,2.334531,0.203493,5.0208
17.214289,16.861863,0.1150,1.6578,2.384385,0.195748,5.2161
17.028545,17.029015,0.1198,1.6880,2.432146,0.186693,5.4043
16.835203,17.187334,0.1414,1.7446,2.473744,0.146358,5.5862
16.636180,17.338496,0.1619,1.8051,2.509387,0.138968,5.7624
16.432035,17.482654,0.1951,1.8763,2.542735,0.127964,5.9333
16.223376,17.620218,0.2651,1.9737,2.574050,0.122689,6.0000
16.010601,17.751321,0.3256,2.0425,2.604655,0.122272,6.0000
15.793919,17.875863,0.3793,2.0765,2.632213,0.098288,6.0000
15.574232,17.995052,0.4441,2.0878,2.660717,0.129866,6.0000
15.350818,18.107040,0.5281,2.0826,2.695727,0.150371,6.0000
15.123354,18.210557,0.6049,2.0350,2.732262,0.142088,6.0000
14.892355,18.305937,0.6950,1.9669,2.766987,0.135883,6.0000
14.658249,18.393423,0.8013,1.8840,2.800739,0.134288,6.0000
14.421339,18.473005,0.8978,1.7660,2.835831,0.146615,6.0000
14.181683,18.543856,0.9964,1.6306,2.867752,0.108885,6.0000
13.940163,18.608167,1.1083,1.4941,2.892641,0.090315,6.0000
13.697253,18.667010,1.2176,1.3488,2.915504,0.092658,6.0000
13.453046,18.720214,1.3198,1.1984,2.940863,0.110296,6.0000
13.207475,18.766665,1.4231,1.0584,2.969088,0.115605,6.0000
12.960663,18.806005,1.5307,0.9352,2.994073,0.084353,6.0000
12.713063,18.840135,1.6421,0.8316,3.014388,0.078226,6.0000
12.464846,18.869417,1.7193,0.7135,3.033031,0.070969,6.0000
12.216145,18.894294,1.7996,0.6186,3.048706,0.054461,6.0000
11.967125,18.915783,1.8702,0.5348,3.056878,0.010936,6.0000
11.718043,18.936591,1.9291,0.4605,3.063717,0.043785,6.0000
11.468755,18.954672,1.9817,0.4000,3.074520,0.042663,6.0000
11.219284,18.970095,2.0212,0.3443,3.083818,0.031740,6.0000
10.969698,18.983537,2.0563,0.3014,3.093123,0.042712,6.0000
10.719984,18.994315,2.0896,0.2720,3.105959,0.060005,6.0000
10.470141,19.001346,2.1104,0.2429,3.117134,0.029419,6.0000
10.220246,19.006540,2.1105,0.2039,3.119148,-0.013303,6.0000
9.970370,19.012565,2.1494,0.2133,3.119421,0.015485,6.0000
9.720473,19.017622,2.1437,0.1857,3.126701,0.042767,6.0000
9.470539,19.020008,2.1455,0.1718,3.139030,0.055891,6.0000
9.220597,19.018903,2.1678,0.1836,-3.127658,0.076127,6.0000
8.970727,19.013043,2.1631,0.1728,-3.114359,0.030291,6.0000
8.720898,19.005291,2.1498,0.1572,-3.104612,0.047703,6.0000
8.471185,18.994561,2.1774,0.1861,-3.090884,0.062150,6.0000
8.221669,18.979954,2.1915,0.2052,-3.079209,0.031278,6.0000
7.972269,18.963397,2.1886,0.2114,-3.070276,0.040197,6.0000
7.723051,18.944334,2.1817,0.2182,-3.056982,0.066187,6.0000
7.474187,18.921153,2.1741,0.2285,-3.042034,0.053432,6.0000
7.225650,18.894649,2.1639,0.2408,-3.029995,0.042900,6.0000
6.977411,18.865483,2.1489,0.2525,-3.011433,0.105654,6.0000
6.730051,18.829776,2.1325,0.2675,-2.987901,0.082666,6.0000
6.483463,18.788963,2.1140,0.2860,-2.968776,0.070389,6.0000
6.237632,18.743820,2.1246,0.3396,-2.954536,0.043564,6.0000
5.992301,18.696001,2.1157,0.3810,-2.942675,0.051344,6.0000
5.747607,18.645039,2.0887,0.4113,-2.922842,0.107383,6.0000
5.504386,18.587534,2.0666,0.4535,-2.898842,0.084686,6.0000
5.262422,18.524891,2.0556,0.5142,-2.878565,0.077590,6.0000
5.021719,18.457568,2.0294,0.5667,-2.858811,0.080494,6.0000
4.782420,18.385417,1.9881,0.6119,-2.839779,0.071803,6.0000
4.544451,18.308983,1.9407,0.6593,-2.819427,0.091074,6.0000
4.308291,18.227155,1.8927,0.7153,-2.796756,0.090354,6.0000
4.074035,18.140015,1.8701,0.8071,-2.776132,0.074690,6.0000
3.841443,18.048516,1.8191,0.8807,-2.756912,0.079120,6.0000
3.610708,17.952437,1.7516,0.9484,-2.736162,0.086937,6.0000
3.382116,17.851369,1.6787,1.0213,-2.710906,0.115192,6.0000
3.156537,17.743768,1.6261,1.1254,-2.680081,0.131527,6.0000
2.934619,17.628814,1.5608,1.2274,-2.651629,0.096190,6.0000
2.715514,17.508552,1.4416,1.2856,-2.631531,0.064654,6.0000
2.498377,17.384763,1.3735,1.4045,-2.618575,0.039022,6.0000
2.282454,17.258860,1.2861,1.5139,-2.603619,0.080664,6.0000
2.069123,17.128636,1.1946,1.6283,-2.593425,0.000908,5.9995
1.855812,16.998358,1.1017,1.7498,-2.591607,0.013637,5.0384
1.642946,16.867353,0.9951,1.8651,-2.566485,0.187528,4.7149
1.436512,16.726569,0.9212,2.0231,-2.508051,0.280544,3.1380
1.240464,16.571709,0.8323,2.1695,-2.431996,0.329073,2.8014
1.057811,16.401330,0.7138,2.2896,-2.516065,-1.025665,2.4186
0.840747,16.282999,0.6139,2.4292,-2.629047,0.107684,2.7978
0.624836,16.157692,0.5364,2.5669,-2.495185,0.980797,2.4734
0.445732,15.984939,0.4931,2.6993,-2.298773,0.607502,2.8475
0.294108,15.786622,0.4942,2.8337,-2.177651,0.368046,3.1789
0.161192,15.575086,0.5358,2.9546,-2.101360,0.243751,3.4791
0.041355,15.355799,0.5057,2.9411,-2.060812,0.081014,3.7554
-0.074041,15.134085,0.3857,2.7708,-2.051964,-0.010196,4.0128
-0.190004,14.912664,0.2951,2.5623,-2.054228,-0.007921,4.2547
-0.306404,14.691473,0.2829,2.3636,-2.047236,0.063875,4.4835
-0.419256,14.468457,0.3413,2.1770,-2.022907,0.130839,4.7012
-0.524752,14.241885,0.4768,2.0232,-1.989721,0.134776,4.9093
-0.622560,14.011886,0.6360,1.8640,-1.953835,0.152477,5.1088
-0.711534,13.778336,0.8020,1.6980,-1.917486,0.138477,5.3009
-0.792378,13.541841,0.9672,1.5328,-1.883811,0.131059,5.4863
-0.865436,13.302824,1.1042,1.3525,-1.851953,0.123933,5.6656
-0.931058,13.061658,1.2280,1.1799,-1.821761,0.117707,5.8394
-0.989560,12.818665,1.3590,1.0411,-1.792584,0.115816,6.0000
-1.041006,12.574081,1.4897,0.9287,-1.767340,0.086214,6.0000
-1.087171,12.328438,1.6328,0.8517,-1.746738,0.078660,6.0000
-1.128499,12.081935,1.7392,0.7601,-1.720190,0.133814,6.0000
-1.161561,11.834200,1.8270,0.6722,-1.689372,0.112835,6.0000
-1.187627,11.585625,1.8737,0.5633,-1.664050,0.089820,6.0000
-1.208107,11.336523,1.9252,0.4787,-1.643712,0.072942,6.0000
